magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,name,alt,az,distance,x,y
2.07,2.09653333,29.09082805,33.6,135.68,-162.95,0.13976888866666667,1991.25,Sirrah,67.53347666101608,225.000526886265,6.13883e+06 au,-0.23760482476578326,0.8302261395841594
2.28,2.29204036,59.15021814,59.89,523.39,-180.42,0.15280269066666669,1991.25,Caph,73.6239605097866,326.3062143249512,3.44406e+06 au,-0.09765491350599655,0.47593631223143423
3.88,2.35224949,-45.74698836,23.28,122.15,-180.13,0.15681663266666668,1991.25,HIP765,-3.699935135260336,192.36571283906218,8.86017e+06 au,-2.4009054337455744,3.953669370376514
2.83,3.30895828,15.18361593,9.79,4.7,-8.24,0.22059721866666668,1991.25,HIP1067,55.56795819058405,209.5872649006285,2.10689e+07 au,-0.3113992759024952,1.0573389175241659
3.56,4.85701265,-8.82382948,11.26,-14.37,-37.84,0.3238008433333333,1991.25,HIP1562,32.89015370939517,198.07511021410394,1.83184e+07 au,-0.5182652128550984,1.6381825331947215
2.82,6.41334183,-77.25503511,133.78,2220.12,324.37,0.42755612200000004,1991.25,HIP2021,-34.19005395969306,183.66179531096935,1.54182e+06 au,-3.6517611831983987,-11.181050543933644
3.93,6.55048418,-43.67990933,42.51,106.14,32.83,0.4366989453333333,1991.25,HIP2072,-1.115052533647837,189.81508079152442,4.85215e+06 au,-1.7310651176879277,4.027638590117728
2.4,6.57028075,-42.30512197,42.14,232.76,-353.64,0.4380187166666667,1991.25,Ankaa,0.24083053827561499,190.01975147797887,4.89475e+06 au,-1.5993010832114116,3.8389514181881843
3.69,9.24277921,53.89693161,5.46,17.77,-9.15,0.6161852806666667,1991.25,HIP2920,79.98539268977905,320.4487487252647,3.77774e+07 au,-0.07314992218922868,0.5434209914060645
3.27,9.83165567,30.86122579,32.19,115.38,-83.05,0.6554437113333333,1991.25,HIP3092,72.34291043520379,210.32227927388868,6.40773e+06 au,-0.13315589278477977,0.8356992928639199
2.24,10.12661349,56.53740928,14.27,50.36,-32.17,0.675107566,1991.25,Schedar,78.3532535864031,331.86585924448076,1.44544e+07 au,-0.06150826220484566,0.515619188769034
2.04,10.89678452,-17.9866841,34.04,232.79,32.71,0.7264523013333334,1991.25,Diphda,24.83874736487348,189.70142426672487,6.05948e+06 au,-0.4211636077098712,2.067452627335028
3.46,12.27125262,57.8165477,167.99,1087.11,-559.65,0.8180835080000001,1991.25,HIP3821,77.86908740438841,339.9432725883167,1.22784e+06 au,-0.04632185189534387,0.504067197225044
2.15,14.17708808,60.71674966,5.32,25.65,-3.82,0.9451392053333334,1991.25,Tsih,75.5084760216528,348.4487174804306,3.87716e+07 au,-0.031706897462396355,0.474316168694324
3.86,14.18790699,38.49925513,23.93,152.78,36.82,0.945860466,1991.25,HIP4436,80.77812487651293,210.1906167684393,8.61951e+06 au,-0.06394781838374422,0.7378130026324383
3.32,16.52127713,-46.71849042,16.46,-70.16,31.6,1.1014184753333334,1991.25,HIP5165,-3.4161845263300887,182.51714677911482,1.25313e+07 au,-0.627642435629618,5.173879489062867
3.94,17.0960837,-55.24583235,11.66,21.17,29.7,1.1397389133333333,1991.25,HIP5348,-11.922518060991976,181.8107111850121,1.76899e+07 au,-1.1874806881714586,8.56569461031702
3.46,17.14693197,-10.181928,27.73,215.81,-138.33,1.143128798,1991.25,HIP5364,33.111479322800115,183.52016012317142,7.43833e+06 au,-0.11244330411201593,1.79272842999933
2.07,17.43248991,35.62083048,16.36,175.59,-112.23,1.162165994,1991.25,Mirach,78.80019127988388,191.2389972947565,1.26079e+07 au,-0.0321277950532965,0.7806355472050723
3.6,21.00604671,-8.18275372,28.48,-78.38,-206.88,1.400403114,1991.25,HIP6537,35.16472876632528,178.9550818832405,7.24244e+06 au,0.02602920709365093,1.7257435714014953
2.66,21.45251267,60.23540347,32.81,297.24,-49.49,1.4301675113333334,1991.25,HIP6686,76.38124333916072,2.951020755242998,6.28664e+06 au,0.006457178735632911,0.4812666262261932
3.41,22.0914236,-43.31772906,13.94,-18.21,-207.71,1.4727615733333332,1991.25,HIP6867,0.016991779917003843,178.61013826952066,1.47966e+07 au,0.24864966607250696,4.493196368584027
3.93,22.81242306,-49.07307701,22.15,138.22,154.2,1.520828204,1991.25,HIP7083,-5.746887822226257,178.27302630906746,9.31218e+06 au,0.5204635523041787,5.84918996210876
3.62,22.87080776,15.34583101,11.09,25.73,-3.29,1.5247205173333334,1991.25,HIP7097,58.61676918652364,174.90629980521294,1.85992e+07 au,0.049550201307546345,1.1148782185804007
0.45,24.42813204,-57.23666007,22.68,88.02,-40.08,1.628542136,1991.25,Achernar,-13.94603121869756,177.64910067454355,9.09457e+06 au,2.043641063888589,9.919620745737257
3.59,24.49792651,48.62848641,18.76,60.9,-112.42,1.6331951006666665,1991.25,HIP7607,86.42595728079938,54.68507987180593,1.09949e+07 au,0.03368469367821326,0.6115296226660725
3.49,26.02136441,-15.93955597,274.17,-1721.82,854.07,1.7347576273333334,1991.25,Durre Menthor,27.196688238586642,173.6674749745216,7.52325e+05 au,0.24603575899464306,2.0103128880552905
3.74,27.86504416,-10.33494526,12.59,38.78,-38.04,1.8576696106666666,1991.25,HIP8645,32.5963416910502,170.97341207167122,1.63832e+07 au,0.27534336674766946,1.7739720408996194
3.42,28.27041595,29.57939727,50.87,12.02,-233.69,1.8846943966666667,1991.25,HIP8796,71.78577419054074,156.73475612675617,4.05474e+06 au,0.10636018582109649,0.8609515954160724
3.88,28.38235506,19.29409264,15.96,79.43,-99.1,1.892157004,1991.25,HIP8832,61.8165366854326,163.3069043879461,1.29239e+07 au,0.1387634007300994,1.0288927299504487
3.35,28.59868107,63.67014686,7.38,31.98,-18.66,1.906578738,1991.25,HIP8886,72.32538916517515,12.549216925438504,2.79492e+07 au,0.038547609434726876,0.4418571661450557
2.64,28.65978771,20.80829949,54.74,96.32,-108.8,1.910652514,1991.25,HIP8903,63.237255283005375,162.03798524323196,3.76808e+06 au,0.138263700348097,1.0014161486563886
3.69,28.98680207,-51.60958673,57.19,681.24,284.23,1.9324534713333332,1991.25,HIP9007,-8.551094857325419,174.48639905571304,3.60666e+06 au,2.0946345616861985,6.241660489109509
2.86,29.69113269,-61.56992444,45.74,262.54,26.88,1.9794088459999999,1991.25,HIP9236,-18.49272161751785,175.2622941632486,4.50951e+06 au,8.320804336114861,11.945558332445877
3.99,30.0009367,-21.07777193,10.84,133.01,-24.53,2.0000624466666665,1991.25,HIP9347,21.685424095097055,170.1098902842235,1.90281e+07 au,0.4841021055006673,2.2113538688236485
3.82,30.51166929,2.76376048,23.45,33.29,-0.42,2.034111286,1991.25,HIP9487,45.191892640593366,165.20570461646395,8.79594e+06 au,0.2608348184513898,1.364939341923799
3.95,30.85912643,72.42123962,20.12,-44.0,22.51,2.0572750953333334,1991.25,HIP9598,63.740674404540215,7.390333508983431,1.02517e+07 au,0.031299038612408556,0.35320160317749183
2.1,30.97466283,42.32984832,9.19,43.08,-50.85,2.064977522,1991.25,Almach,81.12737434922477,115.19624040360756,2.24445e+07 au,0.10132779895821088,0.6800354955972411
2.01,31.79285757,23.46277743,49.48,190.73,-145.77,2.119523838,1991.25,Hamal,64.980437724665,153.9531042177184,4.16865e+06 au,0.17679735150375078,0.9457350317007243
3.0,32.38550383,34.98739204,26.24,148.78,-39.13,2.1590335886666665,1991.25,HIP10064,75.12146815835008,137.24376493655367,7.8607e+06 au,0.13921281872872723,0.7724546752354189
3.56,34.12708452,-51.51211145,21.06,90.75,-21.9,2.275138968,1991.25,HIP10602,-8.898359459385176,171.27725661364335,9.79415e+06 au,3.009199859994188,5.500504712104954
1.97,37.94614689,89.26413805,7.56,44.22,-11.74,2.529743126,1991.25,Polaris,47.338294270460565,0.3950050952252152,2.72837e+07 au,0.0020321738744090317,0.19748669363615717
3.47,40.82551897,3.23617162,39.78,-146.43,-145.27,2.7217012646666663,1991.25,HIP12706,43.00427673083524,151.1565776352374,5.18514e+06 au,0.4958048323985232,1.2570353769485316
3.61,42.49578911,27.26079044,20.45,65.47,-116.59,2.8330526073333333,1991.25,HIP13209,63.796716555308,129.93525538848922,1.00863e+07 au,0.29989752557146804,0.8319348344847973
3.77,42.67413655,55.89552955,2.45,16.64,-13.76,2.8449424366666665,1991.25,HIP13268,73.2264274041711,48.329837999212224,8.41897e+07 au,0.13551383612558215,0.49866354839578436
3.93,43.564427,52.76248991,13.15,-1.99,-4.53,2.9042951333333336,1991.25,HIP13531,73.72012444453051,59.37532773451061,1.56855e+07 au,0.15602756938294135,0.5277599070778446
3.89,44.10668245,-8.89760976,24.49,77.73,-219.99,2.940445496666667,1991.25,HIP13701,30.46550633979754,152.2526548463678,8.42241e+06 au,0.7641381623098582,1.496784885375146
2.88,44.5654818,-40.30473491,20.22,-53.53,25.71,2.97103212,1991.25,HIP13847,0.351178757310734,161.64702910295907,1.0201e+07 au,2.204594609094018,2.8601202987392176
2.54,45.56991279,4.08992539,14.82,-11.81,-78.76,3.0379941859999997,1991.25,HIP14135,42.06725600224148,144.74826270190803,1.3918e+07 au,0.5814068604664451,1.1779836497759
2.91,46.19912598,53.50645031,12.72,0.5,-4.19,3.079941732,1991.25,HIP14328,72.01755474753281,58.044544366322995,1.62158e+07 au,0.1679054917698826,0.5119627100414694
3.32,46.29373754,38.84053298,10.03,128.69,-106.61,3.0862491693333336,1991.25,HIP14354,69.3519057191947,102.76402631809464,2.05648e+07 au,0.2581646767010089,0.6655527878233631
2.09,47.04220716,40.9556512,35.14,2.39,-1.44,3.1361471439999997,1991.25,Algol,69.84235959545921,96.63132153521316,5.8698e+06 au,0.25020724931508753,0.6381896242296119
3.79,47.37345463,44.85788896,29.05,173.01,-142.05,3.1582303086666665,1991.25,HIP14668,70.9699696049688,85.45051261003485,7.10034e+06 au,0.22715742806401734,0.5949307806200864
3.8,48.01783332,-28.98910623,70.86,371.49,612.26,3.201188888,1991.25,HIP14879,10.265378912222591,155.45509977987754,2.91088e+06 au,1.5431268324636354,2.0469689945158116
3.7,49.87904033,-21.7579421,12.63,51.35,32.2,3.3252693553333335,1991.25,HIP15474,16.486111573442074,151.29878374563592,1.63313e+07 au,1.2837050198398594,1.7155635944478649
1.79,51.08061889,49.86124281,5.51,24.11,-26.01,3.4053745926666665,1991.25,Mirfak,69.26449694953189,69.71737122485473,3.74346e+07 au,0.21932720281439896,0.5286990780099493
3.61,51.20349011,9.02906504,15.42,-74.25,-80.31,3.413566007333333,1991.25,HIP15900,43.99224881916601,134.87661621677267,1.33764e+07 au,0.6094643331388006,1.0139357481283389
3.73,51.79217049,9.7327724,14.68,53.61,-38.12,3.4528113659999997,1991.25,HIP16083,44.31228423610998,133.6839656085361,1.40507e+07 au,0.6085285758076923,0.9949873580169191
3.72,53.23509009,-9.45830584,310.75,-976.44,17.97,3.549006006,1991.25,Sadira,26.58569893543975,142.979903120567,6.63765e+05 au,0.9904707913645298,1.3070815212241238
3.01,55.7311754,47.7876533,6.18,23.83,-41.93,3.715411693333333,1991.25,HIP17358,65.97520670087086,74.16355794313364,3.33762e+07 au,0.2623373410434759,0.5258016631562741
3.52,55.81231706,-9.76519868,110.58,-91.71,742.23,3.720821137333333,1991.25,HIP17378,25.21471824471166,140.56688002970245,1.8653e+06 au,1.0482888705442064,1.2485297466400174
3.84,56.04814541,-64.80709398,32.71,308.39,78.72,3.736543027333333,1991.25,HIP17440,-24.9268833629442,164.06647345485348,6.30586e+06 au,7.882832569889758,-0.406241741810168
3.84,56.07969347,32.28827325,2.21,8.11,-10.32,3.7386462313333335,1991.25,HIP17448,59.08941911384379,104.7875833069198,9.33325e+07 au,0.39789906609834447,0.6706062073696222
3.72,56.21884811,24.1134484,8.8,21.55,-44.92,3.7479232073333337,1991.25,HIP17499,53.431008546460276,115.45948570118892,2.34392e+07 au,0.4841697182112887,0.7561515763202775
3.77,56.29851422,42.57854437,5.86,-14.59,1.75,3.7532342813333335,1991.25,HIP17529,64.13558175687895,85.78169869636578,3.51988e+07 au,0.30747674814026127,0.5697019758552505
3.87,56.45663804,24.36785796,9.06,21.09,-45.03,3.7637758693333336,1991.25,HIP17573,53.46931232005587,114.90182498644421,2.27665e+07 au,0.48372110541451385,0.7509142184866725
3.26,56.80929799,-74.23924251,15.23,51.07,115.27,3.7872865326666667,1991.25,HIP17678,-33.38939615435294,168.85331375880625,1.35433e+07 au,6.478653167471759,-6.0910152771728745
2.85,56.87110065,24.10524193,8.87,19.35,-43.11,3.79140671,1991.25,HIP17702,53.019249657248245,114.7409931945049,2.32542e+07 au,0.49081963195737344,0.7495426247648714
