magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,name,alt,az,distance,x,y
2.07,2.09653333,29.09082805,33.6,135.68,-162.95,0.13976888866666667,1991.25,Sirrah,67.70774936378805,224.30833132181564,6.13883e+06 au,-0.23312092249717364,0.8320710004148074
2.28,2.29204036,59.15021814,59.89,523.39,-180.42,0.15280269066666669,1991.25,Caph,73.76071981146241,326.7493757304596,3.44406e+06 au,-0.09575808985457075,0.476612505902274
3.88,2.35224949,-45.74698836,23.28,122.15,-180.13,0.15681663266666668,1991.25,HIP765,-3.6473594809737913,192.11746020826848,8.86017e+06 au,-2.3667366366899105,3.989918213457025
2.83,3.30895828,15.18361593,9.79,4.7,-8.24,0.22059721866666668,1991.25,HIP1067,55.68929431447439,209.00730171854383,2.10689e+07 au,-0.30511341993379254,1.0599198100639535
3.56,4.85701265,-8.82382948,11.26,-14.37,-37.84,0.3238008433333333,1991.25,HIP1562,32.966228377258986,197.65845998629388,1.83184e+07 au,-0.5068933274979189,1.6431733215882978
2.82,6.41334183,-77.25503511,133.78,2220.12,324.37,0.42755612200000004,1991.25,HIP2021,-34.174424144928125,183.56604900345454,1.54182e+06 au,-3.587275260160709,-11.255135154750231
3.93,6.55048418,-43.67990933,42.51,106.14,32.83,0.4366989453333333,1991.25,HIP2072,-1.0733359513368,189.55593838051158,4.85215e+06 au,-1.6926279444330117,4.0539298567324416
2.4,6.57028075,-42.30512197,42.14,232.76,-353.64,0.4380187166666667,1991.25,Ankaa,0.2834076363995251,189.75482315716303,4.89475e+06 au,-1.5632445688764094,3.862532760668751
3.69,9.24277921,53.89693161,5.46,17.77,-9.15,0.6161852806666667,1991.25,HIP2920,80.14189552377564,321.28285919243046,3.77774e+07 au,-0.07076946650331001,0.5439345446532573
3.27,9.83165567,30.86122579,32.19,115.38,-83.05,0.6554437113333333,1991.25,HIP3092,72.46633341352552,209.38032436825333,6.40773e+06 au,-0.12858776767733604,0.836724708955768
2.24,10.12661349,56.53740928,14.27,50.36,-32.17,0.675107566,1991.25,Schedar,78.46863826509,332.67231346825236,1.44544e+07 au,-0.05932513515212823,0.5160459661524054
2.04,10.89678452,-17.9866841,34.04,232.79,32.71,0.7264523013333334,1991.25,Diphda,24.879727179583316,189.32430964977638,6.05948e+06 au,-0.40528394819575275,2.0718856132171655
3.46,12.27125262,57.8165477,167.99,1087.11,-559.65,0.8180835080000001,1991.25,HIP3821,77.95244630831235,340.7697834128423,1.22784e+06 au,-0.04421933494110628,0.5043849761437162
2.15,14.17708808,60.71674966,5.32,25.65,-3.82,0.9451392053333334,1991.25,Tsih,75.5566899970541,349.1276102712359,3.87716e+07 au,-0.029813384806711044,0.4745289956898634
3.86,14.18790699,38.49925513,23.93,152.78,36.82,0.945860466,1991.25,HIP4436,80.8998141722746,208.5870840129296,8.61951e+06 au,-0.06012549883318778,0.7382829171949553
3.32,16.52127713,-46.71849042,16.46,-70.16,31.6,1.1014184753333334,1991.25,HIP5165,-3.405832811612805,182.26810231618455,1.25313e+07 au,-0.5671799438758443,5.184592287067268
3.94,17.0960837,-55.24583235,11.66,21.17,29.7,1.1397389133333333,1991.25,HIP5348,-11.915140371154793,181.5992151652282,1.76899e+07 au,-1.0530978385186427,8.594660629263265
3.46,17.14693197,-10.181928,27.73,215.81,-138.33,1.143128798,1991.25,HIP5364,33.12578527946516,183.09486244960905,7.43833e+06 au,-0.09926442277994428,1.7937880857567048
2.07,17.43248991,35.62083048,16.36,175.59,-112.23,1.162165994,1991.25,Mirach,78.84533833596718,189.7412434755893,1.26079e+07 au,-0.027973853646907715,0.7808639980986376
3.6,21.00604671,-8.18275372,28.48,-78.38,-206.88,1.400403114,1991.25,HIP6537,35.15925848996156,178.51664511434564,7.24244e+06 au,0.03853979101193889,1.725412176955072
2.66,21.45251267,60.23540347,32.81,297.24,-49.49,1.4301675113333334,1991.25,HIP6686,76.36684123433223,3.7084019062026314,6.28664e+06 au,0.008399547416334061,0.4812112402174186
3.41,22.0914236,-43.31772906,13.94,-18.21,-207.71,1.4727615733333332,1991.25,HIP6867,0.010406935052279152,178.34626824955362,1.47966e+07 au,0.29755345879588824,4.488654470341259
3.93,22.81242306,-49.07307701,22.15,138.22,154.2,1.520828204,1991.25,HIP7083,-5.754876813118318,178.03417443805523,9.31218e+06 au,0.593458462691315,5.838181719517985
3.62,22.87080776,15.34583101,11.09,25.73,-3.29,1.5247205173333334,1991.25,HIP7097,58.59331415477614,174.23801028021893,1.85992e+07 au,0.056415826448733025,1.114421098320468
0.45,24.42813204,-57.23666007,22.68,88.02,-40.08,1.628542136,1991.25,Achernar,-13.956639313760224,177.4468325812513,9.09457e+06 au,2.2100901339301093,9.85751225033954
3.59,24.49792651,48.62848641,18.76,60.9,-112.42,1.6331951006666665,1991.25,HIP7607,86.2212245774279,56.59928832509077,1.09949e+07 au,0.0365612231396047,0.6112683101384955
3.49,26.02136441,-15.93955597,274.17,-1721.82,854.07,1.7347576273333334,1991.25,Durre Menthor,27.168499702729285,173.27715218170954,7.52325e+05 au,0.26138432510306026,2.007606680734014
3.74,27.86504416,-10.33494526,12.59,38.78,-38.04,1.8576696106666666,1991.25,HIP8645,32.55654130960373,170.55322384978808,1.63832e+07 au,0.2882299290941405,1.7711262099657723
3.42,28.27041595,29.57939727,50.87,12.02,-233.69,1.8846943966666667,1991.25,HIP8796,71.68594383199927,155.78319236756286,4.05474e+06 au,0.11112542883016018,0.8600854456738316
3.88,28.38235506,19.29409264,15.96,79.43,-99.1,1.892157004,1991.25,HIP8832,61.74385049981418,162.601335654464,1.29239e+07 au,0.14488129926871224,1.0277078708273957
3.35,28.59868107,63.67014686,7.38,31.98,-18.66,1.906578738,1991.25,HIP8886,72.27047012351682,13.042974526297062,2.79492e+07 au,0.04021193195174008,0.44158072149345196
2.64,28.65978771,20.80829949,54.74,96.32,-108.8,1.910652514,1991.25,HIP8903,63.1592873403167,161.30823413737804,3.76808e+06 au,0.14415421580572663,1.0002456251069163
3.69,28.98680207,-51.60958673,57.19,681.24,284.23,1.9324534713333332,1991.25,HIP9007,-8.575406981306328,174.25974576617529,3.60666e+06 au,2.1701517359633087,6.197883183011229
2.86,29.69113269,-61.56992444,45.74,262.54,26.88,1.9794088459999999,1991.25,HIP9236,-18.51359178582545,175.08116952037605,4.50951e+06 au,8.469564098218079,11.663465683970466
3.99,30.0009367,-21.07777193,10.84,133.01,-24.53,2.0000624466666665,1991.25,HIP9347,21.642066419060885,169.74910448295063,1.90281e+07 au,0.5014050398505808,2.2058774710796074
3.82,30.51166929,2.76376048,23.45,33.29,-0.42,2.034111286,1991.25,HIP9487,45.127521651893986,164.70109895445228,8.79594e+06 au,0.26981468205652326,1.3625166531192594
3.95,30.85912643,72.42123962,20.12,-44.0,22.51,2.0572750953333334,1991.25,HIP9598,63.708277709596345,7.624462915949257,1.02517e+07 au,0.03235788605331918,0.35298437764440665
2.1,30.97466283,42.32984832,9.19,43.08,-50.85,2.064977522,1991.25,Almach,80.90216516008388,114.27624488964808,2.24445e+07 au,0.10469955260875236,0.6792591262436238
2.01,31.79285757,23.46277743,49.48,190.73,-145.77,2.119523838,1991.25,Hamal,64.87012372706437,153.21468430717087,4.16865e+06 au,0.1822161975487947,0.9442722056655501
3.0,32.38550383,34.98739204,26.24,148.78,-39.13,2.1590335886666665,1991.25,HIP10064,74.95164424037286,136.30393511979506,7.8607e+06 au,0.14327543789475028,0.771360683111642
3.56,34.12708452,-51.51211145,21.06,90.75,-21.9,2.275138968,1991.25,HIP10602,-8.936444673087639,171.05189045359975,9.79415e+06 au,3.0645554187108206,5.44355415102497
1.97,37.94614689,89.26413805,7.56,44.22,-11.74,2.529743126,1991.25,Polaris,47.33657378326438,0.4002495440593541,2.72837e+07 au,0.0020725172725291315,0.1974709852499259
3.47,40.82551897,3.23617162,39.78,-146.43,-145.27,2.7217012646666663,1991.25,HIP12706,42.88377629070069,150.6910785277871,5.18514e+06 au,0.5035955763033885,1.2526075881113838
3.61,42.49578911,27.26079044,20.45,65.47,-116.59,2.8330526073333333,1991.25,HIP13209,63.605781001037045,129.3513370965506,1.00863e+07 au,0.30433395286253456,0.8295576510424305
3.77,42.67413655,55.89552955,2.45,16.64,-13.76,2.8449424366666665,1991.25,HIP13268,73.04080532967463,48.60828351808928,8.41897e+07 au,0.1375536171403763,0.4976943896832134
3.93,43.564427,52.76248991,13.15,-1.99,-4.53,2.9042951333333336,1991.25,HIP13531,73.5065690746324,59.54001778541022,1.56855e+07 au,0.15826648377823738,0.5266341501397469
3.89,44.10668245,-8.89760976,24.49,77.73,-219.99,2.940445496666667,1991.25,HIP13701,30.34931331410941,151.860291415454,8.42241e+06 au,0.7737016698443024,1.4895443608775292
